,Datetime,Tweet Id,Text,Username
0,2022-03-07 23:59:59+00:00,1500984637618745347,"긴급! 전・현 대학총장・교수단 1600여명 윤석열 지지 선언! 전직 대법관・검찰총장 등 법조인 355명, DJ정부 일부 장・차관도... https://t.co/SqCRSbXP47 출처 @YouTube",KbO85wMU5xyxPto
1,2022-03-07 23:59:58+00:00,1500984634607562757,윤석열이 되면 안되는 이유 https://t.co/bQKGfBPohF - @YouTube,RxLf768bTJxsM8T
2,2022-03-07 23:59:58+00:00,1500984634221293568,"대선 이틀 앞두고 터진 ‘김만배 파일’, 막판 판세 뒤흔드나... 검사 윤석열의 ‘봐주기 수사’ 의혹 재점화
김, 2011년 대장동 불법대출 수사 거론하며
“내가 (윤석열에) 통할 만한 사람 소개…박영수”https://t.co/MpQ6MIrZaF",komspring
3,2022-03-07 23:59:48+00:00,1500984593784410114,"그분 지지하면서 윤석열 반말 삿대질에 경기하면 웃겨 안웃겨??
ㅋㅋㅋㅋ 반말에 삿대질 기본 장착에 철거민 폭행, 장애인 감금, 고소고발이 취미, 뒤집어 씌우기가 특기, 정신병원에 강제 입원 시키는 놈은 빨아대면서 
반말 삿대질은 소름이라 태도가 본질 운운.... ㅂㅅ인가 -.-;;",lovegentleini
4,2022-03-07 23:59:42+00:00,1500984568181972992,"윤석열 뭔지 모르겠다만 
사람 하대 하는 건 있는 거 같네요. https://t.co/dRpD87vwnw",mickey77926
5,2022-03-07 23:59:42+00:00,1500984566961815552,"@4politics_nft @GibaegSong
@newusb84
@illtalmen

윤석열",lewis3313
6,2022-03-07 23:59:41+00:00,1500984562721034241,"♦️젠더 갈라치기하는 윤석열을
우리 젊은이들은 안찍는다...

이대남의 역설~~!!!

https://t.co/bH3zqdATbJ",ksp8888
7,2022-03-07 23:59:39+00:00,1500984554412204038,"투표로 이재명은 청와대로, 윤석열과 대장동 도둑들은 청송교도소로 보내야 한다.",chichd1972
8,2022-03-07 23:59:29+00:00,1500984511760244737,"윤석열, 삿대질 하는 머슴? https://t.co/rOfV572Yt8 출처 @YouTube",lee5889
9,2022-03-07 23:59:16+00:00,1500984459319214081,"@kidonge @ilovekorea2022 윤석열의 부산저축은행 사태 수사 덮기와 그로인한 대장동 사건, 줄리의 도이치 모터스 내부자 공모 주가조작 그리고 장모 최은순의 국토 수 백만평 땅투기및 특혜!!!
이런 악날한 범죄들은 진영논리를 벗어나 상식으로 생각하면 천벌받아 마땅한 악날한 범죄들 입니다!!!
부디 정의로운 사회를 위해!!",JamesCh22367033
10,2022-03-07 23:58:28+00:00,1500984257510273024,"윤석열 후보의 최고 명연설 !

자유민주주의의 위대한 점은 잘못한 정권을 심판할 수 있다는 것입니다. 

선거의 본질은 권력에 대한 심판입니다. 

심판받지 않는 권력은 반드시 부패합니다. 

잘못된 정권을 심판하지 않는 나라는 미래가 없습니다. 

-2022.02.22 https://t.co/zwuwEpKqGZ",YouRiiNaa
11,2022-03-07 23:58:17+00:00,1500984210596966400,"전분야에서 가르침 팔요한 윤석열,
5분30초짜리 기조연설문 써온 거 열심히 다읽고나서 한는 말 한심
""언론인 여러분이 많이 가르쳐 달라""  
대통령이 알아서 일해지, 배우는 자리야? https://t.co/tG0obcLsGz",hebbang100
12,2022-03-07 23:58:14+00:00,1500984196579610624,"김만배와 윤석열 그리고 박영수.
https://t.co/GGVQbNUREH",jeongsyeon
13,2022-03-07 23:58:03+00:00,1500984150568103936,"의외로 유연하다.. 우리가 오해한 윤석열
결혼식 당시 하객 붐벼 교통체증
갈등 생겨도 솔직 화법으로 해소 
정권에 날 세우지만 文에겐 예의
""집권하면 유연한 용인술 보일 것""

윤석열 대통령 가자!! https://t.co/KeF8YUqiGM",mola_mola44
14,2022-03-07 23:58:01+00:00,1500984143592947712,"국힘과 윤석열이 들으면 혼비백산할 연세대 학생의 팩폭 ""누구보고 포퓰리즘이래~ 청년에게 진심인건 이재명이다"" https://t.co/7r5pzy5XEN - @YouTube",yes1836
15,2022-03-07 23:57:52+00:00,1500984104934084609,"대선 D-1, 이재명·윤석열 빅데이터도 엎치락뒤치락 | 다음 뉴스 https://t.co/3c7xPMxHTX 
검색량 네이버는 윤석열, 구글은 이재명 우위",meritsun
16,2022-03-07 23:57:51+00:00,1500984101968691200,존나 미스터리한게 민주당 댓글부대가 국힘 경선에서 홍준표가 아니라 윤석열을 선택하기 위해 여론몰이를 했냐는 것....만약 그렇다면 이 새끼들은 영웅이지 싶다. ㅎㅎ,Dokaijija
17,2022-03-07 23:57:47+00:00,1500984084666871808,수사 무마 의혹…윤석열 이름은 어디에 등장하나 https://t.co/liPCDh9ErV,yiVtyRz9rJTOuKO
18,2022-03-07 23:57:47+00:00,1500984083391791106,윤석열을 이롭게 하는 정의 읎는 정의당의 당당한 소신을 응원하며 허경영의 뒤를 이은 4위 0.9% 득표를 기원합니다. https://t.co/0bGPMjpL7h,willow0516
19,2022-03-07 23:57:34+00:00,1500984029205737474,내가 무조건 윤석열을 뽑을것마냥 이러면서 정작 내말에 제대로 반박도 못하면서 개새끼니 무슨 새끼니 이러면서 쌍욕을 한다.,Table_Storys
20,2022-03-07 23:57:26+00:00,1500983997710893056,"@AnhsukChoi @AniRush ㅂㅎㅉ, 씨발년도 윤석열이 했다 하시죠

전부 아니래 ㅋㅋㅋ",Knifeknife13
21,2022-03-07 23:57:25+00:00,1500983994812633089,"국민의힘 선대본부 인사, 광주시민“거렁뱅이 인생” 발언 논란, 해촉 https://t.co/5g9J5u9C4J

뭐 2런 🐕좆가튼 18섀끼가 다 인냐?

문재앙 막장정권 더부러미친당 
CBR 🐕 섀끼덜도 꼴복2 실치만 

🐁 죄맹2 실타9
윤석열2 돼도
한시만 딴나라당 18섀끼들 꼬라G를 또 보게되는 거또 9역질 난다~",Lawyer_KOREA
22,2022-03-07 23:56:56+00:00,1500983869956190208,@TheMinjoo_Kr ㅋㅋㅋ 이미 조사했을 때 조우영이 윤석열 모른다고 했고 녹취 날짜도 대장동 사건 터지고 나서네 조작 선동질 못하면 할 줄 아는 거 없냐?,6LA7aySQ7GnKD9H
23,2022-03-07 23:56:49+00:00,1500983840609042432,라디오나 시사 프로그램을 봐도 평론가들이나 교수들은 문파들이 윤석열 쪽으로 갔다는 이야기를 누구도 안함 기자회견이열리고 당 디전팀이 지지선언을 해도 한 마디도 안 꺼냄 그리고 말미에는 꼭 이재명 4년중임제 민주당의 내각제 이딴 이야기로 이제는 생각해 봐야한다고 마무리 투명한 새끼들 ㅋ,OhWooJinFather
24,2022-03-07 23:56:37+00:00,1500983793116925952,"@actormoon @YouTube 김만배 ""윤석열이 그냥 봐줬지‥사건이 없어졌어"" (2022.03.08/뉴스투데이/MBC) 

화천대유 대주주 김만배 씨의 육성 녹음이 공개됐다. 

국민의힘 윤석열 후보가 10여 년 전 '대장동 관련 불법 대출 정황을 포착하고도 사건을 덮었다'는 것이다.

#화천대유 #김만배 #윤석열

https://t.co/K2oDYlcAoe",kimth0
25,2022-03-07 23:56:33+00:00,1500983773617262596,@TheMinjoo_Kr ㅋㅋㅋ 이미 조사했을 때 조우영이 윤석열 모른다고 했고 녹취 날짜도 대장동 사건 터지고 나서네 조작 선동질 못하면 할 줄 아는 거 없냐?,6LA7aySQ7GnKD9H
26,2022-03-07 23:56:28+00:00,1500983753912782849,겅찰들이 룸싸롱 단골들이란 것은 이미 정평나 있는 사실이고 문제는 자기돈이 아닌 윤석열처럼 업자들이나 변호사들로부터 접대받고 사건거래를 한다는것..검찰출신인 친구도 세상에서 가장 추악한 집단이 검찰들이라고 실토한 바 있음.그래서 때려치고 나왔답니다. https://t.co/cyKZSLUJxJ,geozia21
