text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
"정의당 지지하는 유권자 여러분! 여러분의 아픔과 진정성에 공감합니다. 그러나 투표는 이상이 아닌 현실, 1표라도 많은 후보가 당선됩니다. 여러분의 이상을 실현해 줄 기반을 마련하고 고민할 수 있는 후보 이재명 후보에게 투표 부탁드립니다. 미래를 위해 아쉽지만 오늘은 잠시 꿈을 내려 주세요!!",0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.06,0.9
아 ㅋㅋㅋㅋ 근데 어느 당 참관인 분인진 모르겠는데 정의당 참관인 분이 붉은 코트 입고 오신 거 보고 정의당이신데 왜 빨간색 입었냐고 물어봄ㅋㅋㅋㅋㅋㅋ,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.08,0.88
난 정의당이 본인들 잘못이 무엇인지 알고 있는 바에야 후보를 안내거나 다른 후보를 내거나 중도 사퇴를 하는게 맞다고 보아서 심상정 사퇴를 한번 썼었는데 정의당의 행태도 책임정치와 거리가 멀다 @Kr_Justice @sangjungsim https://t.co/vv649Jr0Ub,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.15,0.76
정의당 유세뛴 친구한테 심찍었지만 이재명 지지할수밖에 없는 이 상황을 토로함,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.11,0.84
윤석열 진다는 찌라시라도 돌았나 왜이러시나 갑자기 정의당 https://t.co/0tFYFTFauc,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.59,0.39
"정의당은 민의를 국정에 반영할 수 있는
다당제를 실현 시키고 싶으면 
대통령 말고 정말 시민들 속에 들어가라
시장이나 도지사에 출마해서 당선 해서 일을 해보라!
그리고 
이재명 처럼 증명해 보라!

그러나
이번 대선은 이재명을 지지해야 했다.",0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.73
"에휴 시발...,,,, 1번 뽑을까,,,, 그치만 정의당 지지하는데 3번 한번도 못뽑은건 ㄹㅈㄷ 잖아",0.03,0.01,0.01,0.02,0.01,0.03,0.01,0.04,0.84,0.04
"“윤석열 후보님, 둘 중에 하나만 해라. 아니면 확실하게 이번 참에 페미니스트로 노선 변경하시든가.”

심상정 정의당 대선후보가 3월8일 윤석열 국민의힘 대선후보의 &lt;워싱턴포스트&gt; 인터뷰를 놓고 벌어진 해프닝을 비판했습니다.

📹 김진주 PD 
https://t.co/SLcSgSCFWp",0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.85
"나는 이러한 변화에 정의당의 역할이 컸고, 특히 2030여성유권자의 역할이 컸다고 생각한다.",0.05,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.04,0.91
더민주의 이재명이 국힘의 윤석열에게 몇퍼센트 차이로 지느냐보다 정의당 심상정의 최종 득표가 비교불가로 한국사회에 유의미하다 https://t.co/kWQK4mbeMB,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.07,0.89
