Datetime,text,label
2022-03-01,그 세대면 ㅇㅅㄹ 싫어할 걸 쿠뽀,0
2022-03-01,ㅇㅅㄹ 에서 봤는데 주위 둘러봐도 안 보이고 어디서 찍는 사람도 안 보여서 없는 줄 알았어요,0
2022-03-01,난 언제나 ㅇㅅㄹ로 하는데,1
2022-03-01,이젠 야마모토를 내가 20년간 보면서 왜 다들 그 새끼를 패죽이고싶었는지를 내가 그 누구보다도 잘 알게됀다 ㅇㅅㄹ 외신기자도 가진 바로 인간본연의 악인 돼지근성이다 그게 자기기만,0
2022-03-01,ㄷㄱㄹㅇ ㅅㅂㄷㄱㅅㅂ로 ㅇㅅㄹ ㄷㅁㅇ 크로스오버,0
2022-03-01,ㅁㅊㄴ 입다물어라 ㅇㅅㄹ 에잉 속터집니다,0
2022-03-01,ㅇㅅㄹ에서 를 먹으면,0
2022-03-01,과연 ㅇㅅㄹ일까 일까나,0
2022-03-01,자몽이 오랜만 다음은 나의사랑 너의사랑 ㅇㅅㄹ,1
2022-03-01,내가 보기엔 ㅇㅅㄹ이 막 살은거 같은데 술 처먹고 다음 날 일정 펑크 내고 좌석에 발 올리고 말 할 때마다 옛날 옛적부터 하고 있는걸 해야한다고 우기면서 세상물정 1도 모르고 얼마나 꼴리는대로 막 살았으면 세상이 어떻게 변했는지도 모르고 최소한의 예의도 없지 막 산다는거의 뜻이 뭐겠어,0
2022-03-01,탈북 교수 ㅇㅅㄹ 지지해야 북 민주화 가능,0
2022-03-01,ㅇㅅㄹ 뽑으면 최저시급 없어지고 주 근무시간 늘어날꺼라고 하니 최저시급은 1년마다 오르는거니 없어져야 하는게 맞고 주 근무시간이 늘어나면 일하는 만큼 돈을 더 줄거 아니냐고 말하는 울아빠 후 통화하다가 손님 들어와서 끊었는데 마음 상했는지 그 뒤로 전화 안받음ㅋㅋㅋㅋㅋㅋㅋㅋ,0
2022-03-01,도대체 왜 대통령이 된 후에 정치 공부를 하겠다는거야 정부가 본인 고시방이냐고 어지간하면 ㅇㅅㄹ 이슈에 암말도 안하려고 참았는데 최소한의 공적 자세도 인간에 대한 예의도 없는 인간이라 정말 꼴도 보기 싫으네,0
2022-03-01,결국 팀장님께 메세지보냄 진짜 안그래도 대선 때문에 아무것도 못하겠는데 장난이랍시고 ㅇㅅㄹ 뽑으라고 던지는거 개싫음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
2022-02-28,ㅇㅅㄹ나 먹으러 갈까봐 나도 이제 더는 어쩔수가 없다,0
2022-02-28,나비씌 속이안좋다구 괜차나 우리에겐 ㅇㅅㄹ가있쟈나,1
2022-02-28,트로트의 나라에 걸맞는 최종 순위다 대통령은 ㅇㅅㄹ,0
2022-02-28,ㅇㅅㄹ 지지자들이 긴글 못 읽고 이해 못하니까 자꾸 저렇게 단문으로 공약 올리면서 선동하는건가,0
2022-02-28,ㅋㅋ 아뇨 진작에 거리두기폐지 백신패스폐지 하지 왜 뻘짓했냐고 욕먹어요 ㅋㅋ 백신반대론자도 주변에 엄청 많아서 삼차는 다 안 맞겠대요 주변 반응만 보면 ㅇㅅㄹ 당선될 것 같아서 스트레스 받아요,0
2022-02-28,ㅇㅅㄹ 선거유세차 겁내 시끄러,0
2022-02-28,나 어케하는지 몰라 ㅇㅅㄹ,0
2022-02-27,저 고민이 있음 다른 계정 이야긴데 트친이 열렬한 ㅇㅅㄹ 지지자임 근데 나랑 씨피 취향이 ㅈㄴ 잘맞아 입맛이랑 캐해까지 진짜 황홀함 근데 자꾸 ㅇㅅㄹ 지지 ㅈㅊ계 트윗 해옴 어떡함 대답해달라 하는거 아니고 걍 난감하다고 어필하는 난 트친 포기 못하는데 정치성향까지는 못 끌어안겠어,1
2022-02-27,리박에 들어왔네여 미하벨이 186정도 되고 애슐리가 173정도입니다 굽포하면 3 6센티정도 커질테니 대략 7 10센티 차이 나겠네요 생각보다 얼마안남 ㅇㅅㄹ 하지만 역시 하이힐은 불편해,1
2022-02-27,진정한 츤데레는 ㅇㅅㄹ씨 아닐까 어떻게 하는지 모르겠다고 하길래방법 알려줬더니 제목 ㅇㅂㅇ 이렇게 해놓고 보내주고 맨날 게임중에 문자해도 놀아주는데 부처 아니면 츤데레 아닐까,1
2022-02-27,성우님들 진자 너무 귀엽다고 아 ㅇㅅㄹ학ㄱ급ㄱ급ㄱㅇ,1
2022-02-27,의외로 민주당 못잃어 ㅇㅅㄹ 악마화된 상황이라서 노력해야함 정말 짜증나지만 노력해야함,0
2022-02-27,ㅇㅅㄹ 독방에서 침대에 꽁꽁 묶여서는 잠을 못 잔다는군 예민한데 승질이 드러우니 그조차 다 본인이 자청한꼴인데 참 어떤 새끼들처럼 그걸 남탓해대는군 그걸 나는 18년 10월에 한번의 질문으로 그 드러워쳐먹은 근성을 제대로 확인했었지 지가 심사관이 아닌데 그딴건 알아서 뭐하게,0
2022-02-27,솔직히 나는 야마모토 ㅇㅅㄹ 외신기자 이 세명은 성깔로는 동급인거 애초에 다 알아봤었다 근데 내가 위성 gps로 그런데다 보낸게 아니라 그들이 알아서 그런데로 찾아들어갔었다 아닌게 아니라 세상이치가 그렇거든,1
2022-02-27,ㅇㅅㄹ은 크라브 마가를 했으면 그렇게 병원에 가서도 싸움을 해야하나보다 근데 그거 애초에 나는 18년 가을에 알았지 야 이 여자 곱쌍하게 생겨서 보기보다 성깔 드럽고 실제로 수틀리면 자주 그런식으로 변하는구나 하고 그 내가 했던 질문 하나로 이런 자세가 되야 험한일을 피하는법이다,0
2022-02-27,야 이만하면 ㅇㅅㄹ 외신기자 둘다 여자들이 폭력성 동급이네 얼마전부터 거기 보호사 아저씨에게 폭력을 휘두르기시작했었지 ㅇㅅㄹ도,0
2022-02-27,아 ㅇㅅㄹ 또 병원에서 싸움하다가 독방 끌려가는군 여자가 왜 싸움을 함부로 해서,0
2022-02-27,대통령 토론회에서 ㅇㅅㄹ이 또 뭔가 모르겠다는 반응을 보이자 그걸 보시던 시어머니 왈 에휴 대통령이 어떻게 다 알겠어 라고 하셔서 뜨악 우리 같은 사람은 몰라도 대통령이니까 다 알아야 하지 않을까요 어머님 어른들의 연민 동정 뭐라고 해야해 이런 관대한 잣대 어쩔 거냐고,0
2022-02-27,ㅋㅋ ㅇㅅㄹ 우리보고 120시간 일하라니 ㅋ,0
2022-02-27,진짜 ㅇㅈㅁ ㅇㅅㄹ 둘 다 대통령 되면 안됨 나라 안그래도 엉망인데 둘 줄 한명이라도 되면 더 엉망진창됨 한마디로 대통령후보 중 대통령될만한 후보가 없다는게 참,0
2022-02-27,정말 ㅇㅅㄹ이 당선되면 당장 완장차고 지랄할 인간들이 수두룩하게 튀어 나올지도 모른다,0
2022-02-27,ㅇㅅㄹ 이 오늘 유세를 취소하고 안과 단일화를 위한 절충안에 들어갔다는 보도가 나오고 있다 신문사 여기자 둘이서 하는 유튜브를 잠깐 봤는데 그녀들은 단일화가 26일에 발표될거라 했었다 배경 사정에 대해서는 재미있는 이야기가 많은데 딱히 추천하고 싶지는 않다,0
2022-02-26,ㅇㅅㄹ 그래 좀 쿠소오지상과야 좀 그렇네 갑자기,0
2022-02-26,우리집 전부 민주당인데 지금 세파로나뉨 똑같이 윤뭐시기가 되면 ㅈ된다는 의견인데 강성민주당원 원투는 ㅇㅈㅁ이낫다고 하고 여자 둘은 마음은 그나마 ㅅㅅㅈ이 낫다고 생각하나 갈아타자니ㅇㅅㄹ이 될것같아 울며겨자먹기로 사이코찍겠다선언 나머지남자하나는 그래도사이코는 싫다며 투표거부,0
2022-02-26,본인이 한건 아니고 ㅇㅅㄹ 혐의 뒤집어썼댓나 암튼 그래서 참사랑 어쩌구 그런 얘기 잇엇던걸루 기억 ㅋ ㅋ,0
2022-02-26,ㅌㅂㅇ ㅇㅅㅇ ㄸ ㅇㅅㅎㄺ ㅎㅇㄴㄷ ㅈㄱ ㄴㅁ ㄴㄱ ㅎㅇㅎㅅ ㅇㅅㄹ ㄴㄺㅇㄴ ㄴㅁ ㅃㅉㅎ ㅌㅇㅁㅇ ㄷㅇㅂㄽ ㅇㅅㄹ ㅁ ㅎㅇㅇ ㅈ ㅌㅊㄴㅇ ㅇㅅ ㅇㅊ ㄱㅃㄴㄷ ㅈㅅㅎㄴㄷ,1
2022-02-26,ㅇㅅㄹ 선거 유세 왔는데 진심 저정도면 영업방해 아닐까,0
2022-02-26,ㅍㅌㄹㅇ ㅇㅅㄹ,1
2022-02-25,투표 완료 설마 내표 하나 없다고 ㅇㅅㄹ 이 되진 않겠지 소신껏 투표함,0
2022-02-25,문제는 나름 밀접 접촉자인 나 포함 다른 동료들이었으니 코비드 확진으로 격리되니 ㅇㅅㄹ 표를 하나 날린것 까지는 좋은데 콜래트럴 대미지로 민주당 표를 그보다 훨씬 많이 잃을지도 모르는 상황,0
2022-02-25,평시 민주당을 매우 미워하여 꼭 ㅇㅅㄹ 을 찍겠다는 동료가 있었는데 그만 월요일에 코비드 확진이 되고만것 탐날인 23일부터 부재자 투표인데,0
2022-02-25,아빠한테 ㅇㅅㄹ 찍을거면 나 호적에서 파달라고 말함,0
