text,label,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
설익은 ㅇㄹㅁ ㅇㅅㄹ 거래완료 되었습니다,1,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.07,0.91
아오 뭐 저딴 대선후보가 다 있냐 만약 ㅇㅅㄹ이 당선된다면 자존심이 상해서 며칠밤 잠 못 잘 거 같다,0,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.03,0.89,0.08
썬상 다봄 ㅇㅅㄹ,0,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.09,0.89
아무튼 명백히 또라이 악한이라면 정당한 명분과 정황이 확인되면 다 쏴죽여야돼 그걸 보고도 안 쏴죽이면 후환이 생겨 나는 이거 40년 가까히 살면서 몸소 깨달은 사람이야 이럼 사람이 오늘 할일 절대 내일로 안 미루고 아주 부지런해져 꼰마나 ㅇㅅㄹ 외신기자와는 다르게,0,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.09,0.83,0.06
꼰마 ㅇㅅㄹ 외신기자 이 새끼들은 절대 봐줄수가 없어 한놈은 자기기만으로 사람을 멍청한 주제에 갖고놀려드는 조폭 살인범이고 또 한년은 꽃뱀이고 또 한년은 이거 완전 폭력적인 성향이 조폭깡패 저리가라야 물론 그 한놈은 이미 다 죽었고 두년도 정신 못 차리면 얄짤없어,0,0.27,0.01,0.01,0.13,0.01,0.01,0.04,0.18,0.45,0.02
그러니까 꼰마 니나 ㅇㅅㄹ같은년은 군화발로 맘껏 짓밟아서 씹창을 내버려야돼 그런 인간이하의 버르장머리를 가진 살인범 조폭이나 꽃뱀은,0,0.83,0.05,0.01,0.02,0.02,0.03,0.04,0.05,0.08,0.03
ㅇㅅㄹ 됐다간 서민들은 살기 더 힘들어질꺼라고 되면 클난다 한마디 나와버렸지 뭐에요 글쎄,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.19,0.8
ㅇㅅㄹ 찍으라는 시엄니 말씀에 욱해서 어른들하고는 정치얘기 절대 안한다 라는 신조를 깨트리고 한마디 했다가 속 시끄러워 짐 아후 머리아퍼,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0.78
ㅇㅅㄹ도 싫지만 ㅇㅈㅅ은 진짜 욕나오네,0,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.9,0.07
ㄸㅂㄹ ㅅㅊㅈ ㅇㅅㄹ 트윗터를 점령했구나 지능이 모지난 것도 질병일 줄이야ㅋㅋ,0,0.02,0.02,0.12,0.01,0.01,0,0.01,0.06,0.72,0.13
ㅇㅅㄹ님의 꼬마 커미션 신청 감사합니다,1,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.06,0.91
술취한ㅇㅅㄹ이랑전화하는뿡둄이엿듣긴데그냥,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.86
주인 문 개는 된장바르는거고 한 번 배신 한 놈은 또 배신한다 ㅇㅅㄹ 과 ㅇㅅㄹ 들의 나름 공통점 같다,0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.71,0.21
ㅇㅅㄹ 꼰마의 역겨운 인격중 하나가 좀 편하게 해주면 손자가 할아버지 수염 뜯어버린다는거다 그래서 한년은 정신병원 한놈은 교도소로 보냈다 나는 결코 선량하고 문제없지않은 사람은 절대 그런데로 안 보낸다 거지새끼 이건 자기가 신이라는 사이비 종교 하려는 새끼였고 외신기자는,0,0.01,0.01,0.05,0.07,0.01,0.01,0.89,0.06,0.07,0.04
저기에만 있는거 아니라 ㅇㅅㄹ에도 있는거 아니냐,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.86
라고 ㅇㅈㅁ과 ㅇㅅㄹ사이에서 고민하게 된 한쿡인이 말했다 ㅅㅂㅅㅂㅅ,0,0.03,0.02,0.01,0.03,0.01,0.02,0.01,0.03,0.92,0.04
ㅇㅅㄹ,1,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.08,0.89
다시 한번 ㅇㅈㅅ ㅇㅅㄹ 노년에 아주 길게 시름시름 앓다가 뒤졌음,1,0.04,0.03,0.01,0.01,0.02,0.01,0.01,0.02,0.66,0.19
남은기억이라곤 님들이 내 것이 되었다는 것 캐는 거의 캐삭수준이 됫어요 제캐가요 저도요,1,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.1,0.87
ㅇㅅㄹ는사실기억잘안남 너무옛날이되어버렷어,0,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.09,0.89
ㅇㅅㄹ 이후로 트위터를 잠시도 떠날 수가 없어,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.86
ㅇㅅㄹ 신발 그대로 올린 좌석에 내가 앉을까봐 짜증난다 도대체 다리가 아파도 누가 그렇게 앉아 신발을 벗을 예의도 안 배운 거야,0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8,0.23
죄송한데 저도 보내주실수 있나요 ㅈㅈ ㅇㅅㄹ 목격담때도 못보고 그림으로 봐서 많이 궁금했었는데,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.77
아 ㅁㅊ 유목님도 ㅇㅅㄹ 가시는군아 저도요,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35,0.62
우리판 단결력 진짜 최고인듯 ㅈㅈ ㅇㅅㄹ때도 그렇고 오늘도 그렇고 공개계정에 공유안하고있어ㅋㅋㅋㅋㅋ 진짜 믓찌다믓찌다 이정도 단결력과 팬심이면 슬10 개봉하면 끝장난다 천만 가보자고,1,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.54,0.54
진짜 ㅇㅅㄹ대통령 되면 어떡하지 ㅆㅂ,1,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.86,0.11
외신기자는 벌써 병원비 1000만원 넘었군 이 년도 꼰마나 ㅇㅅㄹ이랑 똑같지,0,0.15,0,0.01,0.15,0.02,0.02,0.02,0.09,0.54,0.05
나 오늘 ㅇㅅㄹ 살해당하는 꿈 꿨어ㄷㄷㅋㅋ 근데 ㄷ통ㄹ ㅇ 못되겠네 하구 안심함,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.86
울 엄마는 ㅇㅅㄹ 애비는 챨스라고 엄마가 물어보지도 않았는데 말해줌,1,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.07,0.9
개인적인 미스테리였는데 대체 저런 ㅇㅅㄹ 을 왜 총장에 임명했을까였는데 총장후보에게 하는 질문에도 거짓으로 답변한 거였어 세상에나세상에나 진짜 후안무치 거짓말쟁이인가봐,0,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.03,0.82,0.14
ㅇㅅㄹ,1,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.08,0.89
전에 ㅂㄱㅎ 대통령 되면 어쩌냐 할 땐 안 될 거란 근자감이 있었던지라 미리부터 공포스럽진 않았는데 지금은 미리부터 걱정이 태산임 게다가 ㅇㅅㄹ이 내거는 프로파간다 자체가 너무 나한테는 실질적인 위협이라고,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.88
그래 꼰마 너는 ㅇㅅㄹ이랑 아주 꼭 빼닮았어 둘이,0,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.45,0.58
ㅇㅅㄹ퀺흐는 으딘가여 첨들어보능 저 잠실 롯타워안에 하드락카페가보고 그랬던게 마지막 ㅋㅋㅋㅋ 롯데타워 안에 가게들은 몇개 가본거 같아요 기억은 안나고 그 가게 들이 있는지도 모르겠지만,0,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.07,0.91
