text,label,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
퀴어 인권 개판되는거 알죠 저희는 mb랑 ㄹ혜 10년을 다시 겪고 싶지 않으니까 도저히 못 뽑아서 속쓰려가면서 이 뽑는건데 말이에요 소신투표 하고 싶어요 진짜 하고 싶고 좋은 후보이신거 알죠 하지만 저희가 결정을 내린게 잘못된 일이라고 비난받아야 하는지는 도저히 납득할 수가 없네요,0,0.02,0.01,0.81,0.02,0.01,0.02,0.01,0.04,0.08,0.1
여성으로써 성소수자로써 이나 윤이나 누가 뽑혀도 개좆같고 지옥같고 모멸감 드는건 매한가지이기 때문에 나는 그냥 소신투표로 심상정 찍을 것이다 어차피 둘 중에 나올테고 둘다 똥인데 나 스스로에게 떳떳한 투표 하는게 백배 낫지 그걸 보여주는 것 만으로 의미 있다고 생각함,0,0.07,0.01,0.79,0.01,0.01,0.01,0.01,0.08,0.13,0.07
무지 개판 인간들은 걍 소신 투표하세요 페미니즘으로 쓰까 먹는거 이제 그만하시고 소신있게 차금법과 트랜지션 지지하는 그 당에 투표해서 퀴어니즘 실천하세요 여성인권은 페미니스트들이 알아서 할테니까 제발 님들은 님들의 길을 가세요 그것도 힘들면 적어도 방해나 하지 말던지,0,0.1,0.01,0.77,0.01,0.01,0.01,0.01,0.06,0.09,0.07
심 소신투표 하겠다는 사람들 코너로 몰고 그 표 앞에서 여성인권 성소수자인권 외치면서 전략투표 외친 결과가 이것 공약집에서 차별금지법 빠지고 성소수자 권리지지 표명 불가 충분한 토론과 조정과정이 필요하다는건 본인이 말한 정치인의 언어로 할 의지가 전혀 없다는것,0,0.07,0.01,0.76,0.01,0.01,0.02,0.01,0.11,0.07,0.08
윤석열이 당선되면 차별금지법커녕 장애인들의 집회는 경찰의 폭력으로 막히고 성소수자 분들은 존재 자체가 없어질 것 이명박 때 장애인 분들의 집회가 그랬고 오세훈은 성소수자 패스티벌을 막아버린 것도 지금 이건 이명박근혜 박정희가 다 섞인 폭력남이 대통령되려는 것 소신 투표가 사치가 됐음,0,0.08,0.02,0.76,0.04,0.03,0.04,0.01,0.48,0.08,0.05
지금 이 찍겠다는 사람들이 누구보다도 절박한 거 아닌가 누군 소신투표 안 하고 싶어서 이렇게 머리 터져라 고민하고 있나ㅋㅋㅋ 퀴어인권이 여성인권보다 중요한 사람들이란,0,0.03,0.01,0.73,0.02,0.01,0.01,0.01,0.03,0.08,0.09
소신투표하고 싶다 근데 죽어도 소수자 혐오를 프레임으로 들고온 후보가 뽑히는 꼴은 못보겠어 너무 간절해 하 이번대선에선 이런 이유로 저번 대선에선 이런 이유로 또 다음 대선에선 이런 이유로 계속 소신 투표하지 못할 모습이 선하다 내 몸이 두개였음 좋겠다 투표 두번하게,1,0.03,0.02,0.72,0.02,0.01,0.02,0.01,0.18,0.11,0.08
이재명이 안되면 성소수자가 소신투표해서가 아니라 당과 후보의 자질과 전략이 부족했던 탓이네요 성소수자 한줌단 패지말고 윤석열 안철수 쪽에 있는 사람들이 왜 이재명 쪽이 아닌지부터 생각해보슈,0,0.02,0.01,0.7,0.01,0.01,0.01,0.02,0.04,0.07,0.12
민주당 당선이 불확실할때는 전략투표하고 확실할 때는 소신투표 하라는건가 그럼 민주당은 영원히 성소수자 패싱하지 당선에 영향을 주는 집단이 아닌데 ㅋㅋ,0,0.03,0.01,0.66,0.01,0.01,0.02,0.01,0.04,0.1,0.13
사실 퀴어 여성 챙기겠다고 말만해도 소신투표로 나뉠거없이 표 받게될텐데 소신투표로 미세한 차이로 지더라도 그건 소신투표한 사람들 때문이 아니라 그 구성원들을 안 챙긴 결과라고 봄 ㅎㅎ,0,0.03,0.01,0.65,0.02,0.01,0.01,0.01,0.02,0.07,0.19
