text,label,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
1번남 이재명 여성 상식 정의 실력 실적 능력 2번남 윤석열 판페미 무능 무식 무당 혐오 비리 본부장,0,0.93,0.04,0.02,0.04,0.03,0.03,0.02,0.14,0.07,0.05
서민 노동자 라는 계급보다 남성이라는 자신이 가진 기득권 계급이 더 소중하니 윤석열 뽑는거지 자본주의 계급보다 가부장제 성계급이 더 오래되고 강한 권력이니까 돈 없어 뒤져도 페미 사라지고 김치녀로 여자패서 등꼴 뽑아먹을 개념녀 부인 있음 되겠다는게 윤석열 뽑는 반페미 남자들 생각이지,0,0.93,0.05,0.02,0.05,0.02,0.02,0.02,0.04,0.04,0.04
윤석열이 페미표 받으려고 이수정 신지예 김민전 뽑은것도 너무 웃김 페미들이야 말로 공산당마냥 똘똘 뭉친 집단인데 페미다 들어왔다고 보수당에 표 줄거라는게 웃김 박원순 사후 이뤄진 보궐선거에서 민주당을 뽑거나 페미당을 지지하는 2030여자들을 그렇게 모르나,0,0.92,0.02,0.02,0.04,0.02,0.03,0.02,0.07,0.06,0.08
여자들이여 이재명 뽑으세요 이재명 대놓고 여성공약 만들고 윤석열 대놓고 안티페미하는데 이재명 뽑아서 여자들 화력이 강하다는걸 보여줘야해요 그래야 앞으로도 계속 여성공약이 나옵니다,0,0.92,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.05,0.09
여자들아 부탁이다 이재명 뽑아라 제발 윤석열이 대통령 되면 이 나라는 극우파들이 점령함 일본보다 더 좆됨 여성 인권 나락가는거야,0,0.92,0.04,0.02,0.05,0.03,0.02,0.02,0.06,0.07,0.04
트페미들은 지능이 낮은가 이준석이 후보야 박지현이 후보야 얘네가 국회의원이나 시 도 의원이라도 되면 조금이나마 이해 하겠어 이준석때문에 윤석열은 안 되고 박지현때문에 이재명한테 투표해야되고 이게 무슨 시발 페미니즘이야 페미니스트인데 이런 것들이랑 같은 취급 받을 때 제일 빡침,0,0.91,0.02,0.03,0.03,0.02,0.01,0.01,0.05,0.06,0.06
이준석이 진정한 페미니스트 심상정 하고 추켜세우는거 보면 답이 심상정 뽑으면 윤석열한테 도움이 되니까ㅋ 이재명 제발 뽑아주세요 페미니스트들이 들어가서 정책 여럿 냈습니다 윤석열되면 여성인권 20년 후퇴함 다 개같이 멸망하고싶지않으면 여자들 한번만 살려주십소 제발,0,0.91,0.04,0.01,0.03,0.02,0.02,0.01,0.05,0.08,0.06
윤석열 찍고 왔음 트페미들 개난리치던데 윤씨 뽑아야할 이유와 이씨 뽑으면 안되는 제 1의 이유는 페미 문제가 아님 안보 문제지 멸공 외친 윤석열과 그것에 발작하는 더퍼줘민주당들 거기에 중국 제외한 전세계가 러시아를 제재하며 누가한국의대통령이 되어야할지 이미 답은제시했다,0,0.9,0.02,0.02,0.07,0.01,0.03,0.01,0.09,0.09,0.05
지금 여가부폐지를 공약으로 건 인간에게 투표를 하시겠다는 건가요 여가부는 남혐부니까 박살내자 고 미친소리하는게 윤석열인데요 여가부 없으면 성폭력피해자나 위안부피해자나 비혼모 위기상태 여성청소년들은 어디서도움받아요,0,0.9,0.02,0.02,0.03,0.01,0.02,0.01,0.06,0.08,0.07
어디서 페미가 윤석열에게 앵겨 붙는거냐 페미 조은희는 꺼져라,0,0.9,0.03,0.02,0.03,0.01,0.02,0.02,0.03,0.08,0.06
