text,label,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
아니 전라도 7시 그동네 좌빨홍어 이게 보수 커뮤니티의 평균 정서인거 아무도 반박못하는데 거 뭐가 이쁘다고 보수당에 호남이 표를 주겠냐고 ㅉㅉ 당장 윤석열이 느네 지지자들 중에도 7시니 홍어니 궁시렁대는 놈들 한무더기일텐데 ㅉㅉ,0,0.03,0.02,0.03,0.07,0.03,0.96,0.03,0.05,0.03,0.04
속보 홍어를 좋아하는 엄마들과 자녀들 모임 미식가 컨소시엄 윤석열 지지언선,0,0.04,0.02,0.02,0.06,0.02,0.95,0.03,0.04,0.03,0.07
광주는 둘다 원한다 그래서 윤석열이다 호남을 21세기의 낙오자로 만들려는 호남인질범 사이비민주당과 통진계 시민단체들은 호남에서 꺼지고 막판에 다 된 복합쇼핑몰 호텔을 무산시킨게 사이비민주당 시민단체 그결과 변변한 호텔도 복합쇼핑몰도 없는게 광주광역시다,0,0.02,0.01,0.03,0.05,0.02,0.94,0.04,0.06,0.04,0.06
fake 야 이름이 사기꾼이네 30년가까이 이재명은 광주를 폭도 라고칭한것 광주에서 희생 당하신분들의 시신의수를세는 점령군의 수박이란 단어가 일상용어란 놈 전라디언이란 마누라의 빈정거림 문재인은 노무현처럼 죽으라는 저주 그다음 은 부동산사기꾼 불륜 욕설 죽이고싶어 난 글지워,0,0.02,0.02,0.02,0.15,0.02,0.94,0.05,0.04,0.03,0.04
전라 들 이런 후보를 내편이라 찍었다간 개 돼지 취급당할까 심히 우려된다 전라디언이라며 의 왕따라하는 김혜경 전두환 밟으며 윤석열을 조롱하는 찢명이 에서 박정희 전두환 욕을퍼붓다 경상도가선 존경한다 떠드니 변죽이 죽끓듯하다 의 귀재냐 거짓말이 자동발사된 쏘피스트냐,0,0.02,0.02,0.02,0.07,0.02,0.94,0.03,0.04,0.04,0.04
한번 홍어면 영원한 홍어다 얘들은 절대 변하지 않는다 TK가 븅신일 뿐이다 여론조사1 대선후보 이재명 67 5 윤석열 11 8 출처 kbc광주방송 네이버 뉴스,0,0.02,0.02,0.02,0.05,0.02,0.94,0.03,0.03,0.04,0.05
ㄹ 윤석열이 전주 연설에서 그랬잖아 민주당 그렇게 열심히 지지해줬는데 뭐가 돌아왔냐고 네네 문프가 마련해준 최고의 후보 내버려 수박에 전라디언 왕따에 이젠 신천지 라는 소리까지해 지지해준 호남에 뒷통수를 쳐도 유분수지 저것들 ㅁ친놈들이라니까,0,0.02,0.01,0.02,0.09,0.02,0.94,0.06,0.06,0.04,0.03
전라도 문디들이 민주당을 살리자고 이재명 문디를 지지하는 것 이재명 지지율이 올라 윤석열과 오차범위 내로 바짝 붙어 있다는 라디오 뉴스를 듣고 전라도 출신인 모친이 하시는 말씀,0,0.02,0.02,0.02,0.05,0.02,0.94,0.03,0.03,0.03,0.07
전라도 광주가 민주당땜시 역내GDP 꼴찌라고 거짓말로 선동하는 윤석열 몰라서 런건지 알고도 뻔뻔하게 밀어붙인건지 수십년째 GDP꼴찌는 국힘당이 신경 많이 쓴다는 대구인거 몰랐을까,0,0.02,0.02,0.02,0.06,0.02,0.94,0.03,0.03,0.04,0.06
윤석열뽑는전라도이대남,0,0.03,0.03,0.03,0.05,0.02,0.94,0.02,0.03,0.03,0.08
개쌍도에서는 세뇌당해 윤석열 지지하고 있습니다 올바름을 워해 최선을 다해야 합니다 특히 개쌍도 지인을 둔 사람들은 분발하셔야 합니다,0,0.03,0.02,0.02,0.03,0.02,0.94,0.03,0.03,0.04,0.06
개쌍도에서는 세뇌당해 윤석열 지지하고 있습니다 올바름을 워해 최선을 다해야 합니다 특히 개쌍도 지인을 둔 사람들은 분발하셔야 합니다,0,0.03,0.02,0.02,0.03,0.02,0.94,0.03,0.03,0.04,0.06
