text,label,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
엄마가 ㅇㅈㅁ 진짜 싫어하시는데 자세한 이유를 듣고 고민했으나 최근에 들은 ㅇㅅㅇ 측근 소식이랑 이 트윗 보니까 다시 마음 굳힘 백래시가 강해지고 있는 이 사태에 한남새기들이 더 활개치면서 여성분들이 고통받는 현실을 맞을 바에 차라리 현실적으로 공약 이행률 높은 괴물을 택하겠음,1,0.06,0.92,0.02,0.04,0.03,0.02,0.02,0.02,0.05,0.05
ㅇㅈㅁ 한남문학 대가였네,0,0.04,0.92,0.01,0.04,0.03,0.03,0.02,0.01,0.06,0.05
ㅇㅈㅁ은 진짜 최선을 다하고 있다 그니까 도태되기 싫으면 이번남들 정신 차리고 가서 똑바로 투표해,1,0.03,0.91,0.02,0.04,0.02,0.02,0.01,0.02,0.08,0.05
ㅇㅅㅇ ㅇㅈㅅ 너무너무 시바 치가떨리게싫고 욕나옥역갸워서 ㅇㅈㅁ뽑을까고민중야진심 여혐으로얻은표심이이기면 그남들이얼마나활개를칠꼬,0,0.05,0.89,0.03,0.03,0.02,0.02,0.01,0.02,0.08,0.05
감성불륜남ㅇㅈㅁ,1,0.03,0.88,0.02,0.07,0.02,0.03,0.01,0.02,0.06,0.08
남자들 남혐 오지더라 ㅇㅈㅁ 갤러리에서 펨코남들 보고 육수가 흐른다고 하는데 기절함 저기여 난 그 정도까지 남혐은 안 했거든요 ㅋㅋㅋ,0,0.08,0.86,0.03,0.04,0.01,0.01,0.01,0.01,0.08,0.09
여성분들이 살기 위해서라면 흩어지지 말고 뭉쳐야합니다 다시한번 말씀드리지만 이번만 눈 딱 감고 ㅇㅈㅁ 찍읍시다 ㅇㅅㅇ이 되면 신남연같은 여혐덩어리 일베소굴이 활개치는 세상이 올 겁니다 이건 분명해요 여혐과 자격지심으로 똘똘 뭉쳐진 2030한남들이 좋아하는 세상을 막으려면,0,0.15,0.85,0.02,0.04,0.05,0.02,0.01,0.03,0.03,0.05
나 왠지는 모르겄지만 게임만 하면 공주 요정 캐들만 잡는디 ex ㄷㄹㄱ ㅍㄹㅇㅌ ㅍㄹㅅㅅ ㄹㅇㅎ ㅅㄹ ㄱㄹㅇㅅ ㅋㅋㄹ ㅇㅈㅁ ㅋㅋ 지금 하는 게임은 남캐들만 나와서 ㅎㅎ 잡는 캐 없겠네 장발남캐들이나 잡아야지 하고 시작했더니 언니,0,0.04,0.84,0.02,0.09,0.02,0.02,0.01,0.01,0.07,0.07
#자캐 이거 칠때마다 제일 위에 자캐는 ㅇㅈㅁ 찍나 ㅎㄱㅇ 찍나 이거 뜨는데 거슬려 죽겠네 진짜 ㄱ,0,0.06,0.84,0.03,0.05,0.01,0.02,0.01,0.01,0.1,0.04
2번남 이후 ㅇㅈㅁ갤 구경중인데 트민남들 진짜 문제네 올려치기는 아니고 다 저런 줄 알고 있었는데 저쪽은 걍 현실에서 주변인들 전화해서 공약으로 설득하고 읍소하는 글이 많던데 트민남들 여기서 뭐하고 있냐 ㅋㅋㅋ,0,0.03,0.81,0.03,0.34,0.02,0.02,0.01,0.02,0.05,0.04
#자캐 이름 최다 득점자 소원 ㅂㅌ ㅇ ㄹ ㅇㄹ ㄷㅇ ㅅㄹ ㅇㅇ ㅇㅍ ㅇㅈㅁ ㄱㅁㄷ ㅅㄷㅇ ㄴㄷㄹ ㅅㅇㅂ 커뮤캐들ㄹ,0,0.04,0.77,0.02,0.03,0.01,0.02,0.01,0.01,0.16,0.07
어제 이번남들 모여있는곳에서 무슨 이야기 하고 있나 하고 살짝 봤다가 ㅇㅈㅁ 당선이면 자기같이 찌질하고 말붙이기 힘든 인간들만 망하고 그러니까 ㅇㅅㄹ이를 찍어야 한다는 글 보고 순간 말을 잃고 숨쉬는것도 잊어버림 우와아,0,0.03,0.77,0.02,0.02,0.02,0.02,0.01,0.02,0.17,0.09
#자캐이름최다득점자소원 ㄷㅇ ㄹㅇㅊ ㅇㅍㅌㅍ ㅇㄹㅅㅈ ㅇㄹㅍ ㅋㅅㅌㄹ ㅇ ㄷㅇ ㅂㄹㅅ ㅁㅇㅁ ㅇㅂㄹㅌ ㅅㅇㅂㄹㅇ ㄹㅇㄴㅅ ㅂㅂ ㄹㄹㅇ ㄴㅅㅇ ㅁㄹㅍ ㅇㅈㅁ ㄱㄹㄷ ㄷㅇㄱ ㅁㄱ ㅇㅎ ㅇㅈㅋ ㅇㄷㅇ ㅎㅍㄹㅇㅅ ㅇㅈㄹㅌ ㅇㅍㄹㅇ ㅎㅅ 아는캐가 많을지도,1,0.05,0.75,0.02,0.02,0.01,0.02,0.01,0.01,0.11,0.1
씨발 실트 ㅇㅈㅁ 블로그 글 개웃겨서 그남의 동년배인 부친에게 읊어줫다가 지금 30분째 ㅇㅈㅁ찬양듣고잇음 죽고싶음 나 지금 ㅇㅈㅁ마스터됨 그남의 삶 전반을 알게됨,1,0.04,0.72,0.02,0.04,0.01,0.02,0.01,0.01,0.23,0.07
ㅇㅈㅁ이 대통령 안되면 그 책임이 소신투표에 있다는 비난은진짜 이해 안됨 그남들 표는 어차피 버린다고 생각해서 여자만 욕한다 거기에 무슨 정의가 있나요 표 결집을 원한다면 강요비난하지 말고 설득하세요,0,0.11,0.72,0.04,0.01,0.01,0.02,0.01,0.02,0.11,0.1
갠적으로 ㅇㅈㅁ이 굳이 여초 가서 굳이 저런거 안해도 ㅇㅅㅇ이가 너무 ㅁ충해서 ㅇㅅㅇ이가 남초한테 대폭 지지 안받았어도 ㅇㅈㅁ 안뽑았다 어케보면 남초가 ㅇㅈㅁ이를 뽑게한거임,0,0.1,0.7,0.02,0.02,0.03,0.02,0.0,0.02,0.09,0.08
김만배가 내가 가진 카드면 윤석열은 죽어 라고 했다 민주당과 ㅇㅈㅁ이 계획한 수가 이녹음파일 김만배의 카드였나 싶다 지금까지 배포하지 못한 것은 미리꺼내면 검증받아야 하기때문이었겠지 싶고 마지막에 푼 건 흑색선전을 위한 마지막몸부림이다 이수는 결국 자충수라 생각 된다,0,0.01,0.65,0.04,0.01,0.01,0.01,0.01,0.04,0.23,0.09
