text,label,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
대통령 ㅇㅈㅁ 투표해야할거같음 마음같아서는 ㅅㅅㅈ인데 진짜 여가부폐지무지성놈들 때문에 ㅇㅅㅇ 당선되면 못살거같음 진심으로,0,0.9,0.02,0.03,0.03,0.02,0.02,0.01,0.09,0.08,0.06
이래도 페미가 ㅇㅈㅁ을 찍는다는 개소리 해라,0,0.89,0.03,0.02,0.02,0.02,0.03,0.02,0.04,0.1,0.06
리 그래도 트위터 자칭 페미들은 ㅇㅈㅁ을 찍는다잖아요 ㅋㅋ 웃어야 할 지 울어야 할 지,0,0.89,0.03,0.01,0.03,0.02,0.02,0.02,0.03,0.06,0.07
페미가 안철수를 지지한다면 이해하겠는데 ㅇㅈㅁ을 지지한다는 건 그냥 성별만 여성일 뿐 돈을 따르는 쓰레기인 거지,0,0.87,0.02,0.02,0.02,0.01,0.01,0.01,0.04,0.09,0.1
저 소신 투표 심 하려다가 맘 바꿔먹었잖아요 윤 되면 한녀들 단체로 망할거 뻔해서 이한테 힘 실어주려구요 그래도 ㅇㅈㅁ은 ㅇㅅㅇ보다는 2030여성들 눈치 좀 보니까,0,0.87,0.08,0.01,0.03,0.02,0.01,0.01,0.02,0.05,0.08
ㅇㅈㅁ이 진짜 좋아서 찍는 한녀가 몇이나 되겠노 그냥 다 저새끼들만은 떨궈야한다는 생각으로 울면서 찍는거지 ㅅㅂ,0,0.86,0.12,0.01,0.03,0.01,0.01,0.02,0.02,0.06,0.03
그래도 말은 통하는 여학우 only vs ㅇㅈㅁ지지자는 대가리깨진놈들이며 남자의 청결에 조금만 엄격해져도 페미년이라고 하는 남학우와 동문,0,0.85,0.01,0.02,0.03,0.03,0.03,0.02,0.14,0.12,0.06
이번 대선 최선의 시나리오는 여자들이 싫어도 ㅇㅈㅁ한테 전략투표 해서 여자표 못받으면 ㅈ망한다는거 정치인들이 깨닫는거인듯 에휴,0,0.85,0.04,0.01,0.02,0.01,0.02,0.01,0.03,0.1,0.09
투표권 가지고 있는티 있는 힘껏 내야지 ㅇㅅㅇ봐 ㅇㅈㅁ이 여자들 지지받아서 지지율 높아지니까 갑자기 여자 유권자들 신경쓰기 시작하잖아,0,0.84,0.03,0.01,0.03,0.02,0.01,0.01,0.03,0.09,0.11
ㅇㅈㅁ 뽑아야 한다는 트페미 들 다수가 실제로는 투표권 없는 10대일 수도 그냥 ㅇㅈㅁ 지지하는 일부 반문페미들 글만 보고 윤씨 뽑히면 하늘이 무너지는 줄 알고 있는 건지도 몰라,0,0.83,0.03,0.02,0.02,0.02,0.01,0.01,0.06,0.12,0.1
