text,label,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
경상도에 무조건 ㅇㅅㅇ표인 유권자가 많듯이 전라도에도 무조건 ㅇㅈㅁ표인 유권자가 많을텐데 특히 40대 이상은,1,0.03,0.01,0.02,0.04,0.02,0.93,0.02,0.03,0.04,0.1
리 대구경북보다 부산경남에서 ㅇㅈㅁ 지지율 낮은 거 봐라,0,0.02,0.02,0.02,0.06,0.02,0.91,0.02,0.02,0.04,0.08
ㅇㅈㅁ 지지자들은 왜 악을 쓸까 난 싫다는데 난 전라도 우린 2번,1,0.02,0.01,0.02,0.03,0.01,0.9,0.02,0.03,0.06,0.07
우리집안도 퓨어 쌍도인데 우리아빠 예전부터 토리야 사람들이 누구찍을거냐 물으면 그냥 ㅇㅅㅇ찍는다고 해라 알겠제 그리고 투표장가서 ㅇㅈㅁ 찍어 일케말함 울엄마도 똑같음 엄빠 안맞아서 이혼했는데 정치관은 귀신같이 똑같음ㅋㅋ,0,0.02,0.02,0.02,0.04,0.01,0.9,0.02,0.02,0.04,0.11
NY에게 험한일 사과 문파단속 호남단속 맡긴 갑질러 ㅇㅈㅁ 모양세가 딱 죄짓고 부하 감옥보내는 조폭 새끼 같다,0,0.02,0.01,0.01,0.05,0.02,0.85,0.02,0.09,0.19,0.03
이번에도 대구는 여기 발전할려면 빨간당 뽑아야한다고 8할은 아마 윤놈 뽑을거다 주변상인들이 ㅇㅈㅁ ㅅㅅㅈ은 욕하면서 윤놈은 떠받들고 있으니 상대하기도 싫어 대선토론도 공약도 안보고 무조건 본인들 좋아하는 당이니 뽑으라고 젊은사람들 붙잡고 계속 뽑으라고 와 대화가 안통해서 무시한다,0,0.01,0.01,0.01,0.04,0.01,0.84,0.02,0.03,0.08,0.06
그분들의 텃밭이기에 전과4범 잡범새끼를 안찍을거야 아마 민주당대선후보로서 호남지역 최저 득표율이 나올거다 ㅇㅈㅁ은 합니다 호남역대 최저득표율,0,0.01,0.01,0.01,0.02,0.01,0.8,0.01,0.04,0.13,0.1
여기 전주 그래도 민주당이니 ㅇㅈㅁ 뽑아야지 않겠냐는 시엄니께 형수쌍욕 얘기해드림 차마 사람이라면 담지 못할 욕이다 별명이 오죽하면 찢이다 시엄니 소름돋는다며 다시 생각해봐야겠다고 용기 얻어 신랑 꼬시기 도전,0,0.02,0.02,0.02,0.03,0.01,0.73,0.02,0.02,0.07,0.13
ㅇㅈㅁ 싫다면서 그래도 어떻게 국짐을 찍어 이것이 제 주변 정서 윤후보 홍보하면서 이제 진영에서 벗어나자 경상도 욕하던거 우리가 하고 있다 막판에는 그냥 애고 나를 믿어달라 읍소,0,0.01,0.01,0.01,0.03,0.01,0.7,0.01,0.02,0.08,0.19
민주당을 숙주로 해서 기생하고 있는 통진잔당과 민평련 이참에 ㅇㅈㅁ과 함께 영원히 사라지길,0,0.07,0.01,0.01,0.09,0.02,0.7,0.01,0.15,0.13,0.04
ㅇㅅㅇ 지지자가 압도적으로 젊은층이 많음 페미냐 7시냐 낄낄 놀리는 문화 처럼 ㅇㅈㅁ 찍었다며 하면서 놀림 게임하다가 못하는 유저한테 계속 그 드립들을 치길래 왜 다들 그러냐고 물어봤는데 별다른 대답은 못들었다 아마 지들도 모르는 듯,0,0.48,0.02,0.01,0.03,0.02,0.69,0.01,0.08,0.06,0.07
ㅇㅈㅁ 성남시장 했을 때 성남인구 98만 용인인구 87만 이었고 수원 고양에 이은 경기 빅3는 당연히 성남차지인 줄 알았는데 용인이 추월하고 이젠 화성시에도 추월당할 각 #성남93만 #화성88만,0,0.02,0.05,0.04,0.04,0.01,0.66,0.01,0.02,0.03,0.27
광주에 사는 언니 안철수 욕을 욕을 그 표 다 ㅇㅈㅁ 한테 간대요 광주상황,0,0.01,0.01,0.01,0.02,0.01,0.64,0.01,0.02,0.06,0.36
조국 추미애 박범계로 이어지는 법무부 장관은 민주당 고위 정치인 특히 ㅇㅈㅁ의 범죄를 수사하지 못하도록 철저하게 인사권을 사용했습니다 중앙지검 수원지검 수원지검 성남지청이 좋은 예 입니다,1,0.02,0.06,0.03,0.15,0.01,0.64,0.01,0.02,0.03,0.22
