text,label,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
한남에서 소신투표하는 한국남자강동원,0,0.05,0.94,0.02,0.05,0.03,0.03,0.02,0.02,0.05,0.05
2번남들 부들대는게 보기 재밌긴한데 ㅋㅋ 헤테로 한남녀들의 싸움이라 뵈지도않고 모여도 한줌도안되는 성소숫놈1은 에헤이 그려 느그들 잘들놀아라잉 하고 소신투표나할게,0,0.06,0.94,0.03,0.07,0.03,0.02,0.02,0.02,0.05,0.04
이재명 고려하고 있는 이유는 간단함 한남충과 반대로 가기 위해서임 그들에게 제일 좆같은 한 표를 선사하고 싶음 전에는 한남들이 윤 싫다고 갈팡질팡하길래 나는 소신투표 하려고 했는데 지금은 헤헷 여가부 폐지해주신댕 여자들 심이나 안 뽑으라고 밭갈러 가장 ㅎ 이러고 있어서 마음이 흔들림,0,0.06,0.93,0.02,0.05,0.03,0.02,0.02,0.02,0.04,0.04
하 소신투표 할라고 진짜 맘 먹었었는데 나라가 왜 이 모양이 됐냐 눈물난다 어디 해보자고 니가 대통령이 되나 한남 중의 한남 새끼야,0,0.03,0.93,0.02,0.05,0.03,0.02,0.02,0.02,0.05,0.04
윤석열이 당선되도 소신투표 주장하는 사람들은 왜 거의 다 한남들이냐,0,0.06,0.93,0.02,0.02,0.03,0.03,0.02,0.02,0.05,0.04
최소한 여성분들 지금의 생활을 유지하려면 찢을 뽑아야 합니다 한남들 지금 여기저기에 소신투표하라고 하는데 표 갈리게 해서 윤석열 뽑히게 하려고 그런 겁니다 찢 뽑는 것도 소신이라면 소신입니다 한남 뜻대로 못하게 하려는 투표,0,0.06,0.93,0.02,0.04,0.03,0.02,0.02,0.02,0.05,0.04
한남충들이 여초 커뮤 들어가서 소신투표하자며 이재명 안 뽑게 선동해서 윤 되게 하려는 거 보고 그냥 이재명 뽑기로 했음 내 손으로 이 인간 뽑는다는 게 존나 싫지만,0,0.05,0.93,0.02,0.03,0.05,0.02,0.02,0.02,0.05,0.04
자지새끼들 성상납준석 존나 부둥부둥해주더라 ㅋㅋㅋㅋㅋㅋㅋ 난 가세연이 이준석 성상납 폭로했을때 그나마 나라에 희망이 있는줄 알았어 ㅋㅋㅋㅋㅋㅋ 근데 윤석열이 그거 알고도 이준석 선거캠프에 다시 들임 ㅋㅋㅋㅋ 여기서 그냥 더이상 흐린눈 못하고 소신투표로 갈아탔다,0,0.03,0.93,0.03,0.05,0.04,0.02,0.02,0.03,0.05,0.03
난 전략맞음 입찢어져도 1번이 소신투표될순없어나한텐ㅋㅋㅋ 망할2번남들,0,0.03,0.92,0.03,0.05,0.03,0.03,0.01,0.02,0.05,0.04
아직도 소신투표 타령하는거 솔직히 존나 짜증난다 소신투표의 결과가 여자표 무시하는거잖아 한남들이 분탕치나 싶을 정도임 하 진짜로 윤 당선될까봐 하루하루가 스트레스다,0,0.06,0.92,0.02,0.02,0.04,0.02,0.02,0.02,0.06,0.04
한남들은 소신투표가 아니라 전략투표로 이재명을 뽑아서 여성인권과 페미의 입지가 넓어지는 걸 더 무서워하는구나 #추적단불꽃 박지현 킹메이커,1,0.1,0.91,0.02,0.03,0.02,0.02,0.02,0.02,0.04,0.04
이재명이 지금의 부인 김혜경에게 프로포즈하며 보여준 일기장 낮에 옥상에서 노는데 그년이 기도횐가 뭔가 하는 데서 어떤 남자애와 아주 다정히 얘기하고 있었다 그X은 어떤 남자와 난잡한 관계여서 난 생각을 바꾸고 눈물을 뿌리면서 돌아섰다 이런 한남에게 소신투표,1,0.07,0.91,0.02,0.04,0.02,0.02,0.02,0.02,0.07,0.06
안그래도 지금 이 순간에도 소신투표할까 한남들 표를 내 표호 상쇄해야 하나 고민중이라 심란한데 더 심란하게 맹글고있어,0,0.05,0.91,0.02,0.03,0.03,0.03,0.01,0.01,0.05,0.05
진짜 정치 한남들 ㅈ같아서 소신투표도 못하겠다,0,0.05,0.91,0.02,0.03,0.04,0.02,0.02,0.02,0.06,0.04
이번 선거에서 한남의 소신투표는 정당화될 수 없다고 생각해요,1,0.05,0.91,0.02,0.04,0.02,0.02,0.02,0.02,0.05,0.06
얘들아기억하자 소신투표안된다 나도심이좋지만지금은아님 이대남들이지랄발광여가부폐지에북다닥달려들어서쿰척거리고있으니윤만큼은막아야한다최악을막자,0,0.08,0.9,0.04,0.03,0.02,0.02,0.01,0.03,0.06,0.04
걍 표분산 되는 게 윤석열 지지하는 펨코야갤 한남충들이 젤 원하는 건데 왜 아직까지도 여자들은 소신투표하는지 모르겠음,0,0.12,0.9,0.02,0.02,0.04,0.02,0.02,0.02,0.04,0.05
응소신투표할때가아니야 2제명 안 뽑으면 펨코남들의 시대가 온다고,0,0.04,0.9,0.08,0.06,0.02,0.02,0.01,0.02,0.05,0.06
윤 이 둘다 싫어서 소신투표하거나 표 던질랬는데 생각해보니 그러면 표 분산돼서 윤 당선임ㅋㅋㅋㅋㅋㅋㅋ 당연함 온 커뮤 한남들은 무조건 윤 한명만 미니까 심지어 신천지라며 신천지 신도 10만이라던데 ㅈ같아도 참고 여자들도 표 몰아야함,0,0.09,0.9,0.02,0.03,0.04,0.02,0.02,0.03,0.04,0.03
이재명 아들이 친할머니 발인 다음날 시발 내상 입었다 는 은어가 섞인 성매매 업소 후기를 작성했는데 후에 문제가 터지자 이재명은 아들이 성매매 업소 후기를 작성한 것은 사실이나 성매매는 안했다 는 말을 한다 이재명에게 소신투표하면 한남들 업소후기 써놓고 성매매는 안했다고 구라질 깜,0,0.05,0.9,0.02,0.03,0.04,0.02,0.01,0.02,0.06,0.04
남초 한남들 여자들 표 분신시키려고 여자인 척 여초 커뮤 들어가서 이재명도 윤석열도 다 쓰레기니까 소신투표 심상정 찍자고 하고 다니는구나 여자들이 뭔 아메바 단세포 무지능인 줄 아네 어쩜 이렇게 예상을 안 벗어나냐,0,0.09,0.9,0.02,0.03,0.04,0.02,0.02,0.02,0.05,0.03
