text,label,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
한녀들 소신투표한다고 자기 신념 버리고 울며 겨자먹기로 투표하는 여자들한테 묻어가는 짓거리 안 했으면 좋겠음,0,0.92,0.06,0.02,0.04,0.02,0.02,0.02,0.03,0.04,0.04
심상정 안철수 소신투표 하신다는 한녀들은 이거 보고 가세요 ㅋㅋ 현실은 잔혹함 소신투표해서 윤석열되어봤자 소수당에 찍은 님들 표 아무도 안 알아줍니다 반페미정서가 나라 정서가 되는거고 한녀들 취업길 막히고 페미 탄압되는거 시간 문제임 다음 대선에는 더더욱 여자 눈치 안보게 되겠지,0,0.92,0.05,0.02,0.04,0.02,0.02,0.02,0.04,0.04,0.05
방금 트렌드를 쭉 훑어 봤는데 꼴페미들은 여가부 폐지 윤석열대 이재명으로 소신투표VS 전략투표로 싸우는 모양임 ㅋㅋ 국힘당 이준석은 뭐라고 한마디 한 모양이고 양쪽다 2030페미니스트를 잡아라인가,0,0.92,0.02,0.02,0.04,0.02,0.02,0.01,0.05,0.05,0.08
페미들아 소신투표 집어치우고 여성인권을 위해 찢재명 꼭 찍길 바란다 내연녀에 입에 담지 못할 성적폭언에 위안부 할머님 등쳐먹은 윤미향이도 같은 진영에 있고 박원숭 오거돈 피해여성의 호소에 성인지학습지 피해호소인 꽃뱀취급 시발 밑도 끝도 없네,0,0.91,0.02,0.02,0.04,0.01,0.03,0.02,0.06,0.07,0.04
여자들아 소신투표 이지랄하지말고 걍 이재명뽑아라 제발 제발,0,0.91,0.02,0.02,0.03,0.02,0.04,0.02,0.04,0.07,0.07
이런데도 #소신투표 하겠다는 입페미들은 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 페미라고도 하지말아,0,0.9,0.02,0.02,0.03,0.02,0.02,0.01,0.05,0.07,0.05
소신투표 좋지 근데 이때까지 여자들이 정의당뽑고 여성의당 뽑은걸 보답받았냐고 이번에 심상정 뽑고 윤석열이 당선되면 신남연 필두로 한 반페미니즘에 미친 남자들 비위를 맞출거같음 아니면 3 7퍼센트의 심상정 지지자를 신경쓸 것같음,0,0.9,0.07,0.02,0.04,0.01,0.02,0.01,0.03,0.05,0.07
지금 소신투표 운운하는 한녀들 이거같음 당장 다같이 반페미정부한테 5년동안 임신기계 취급 받게 생겼는데 신념 운운하는 거 보면 ㅆㅂ 너무답답함,0,0.9,0.04,0.02,0.04,0.02,0.01,0.02,0.03,0.06,0.05
이번 대선에서 소신투표를 하지 말아야 할 이유는 소신투표를 할때는 결과가 어떻든 내 신념 을 피력하는 데 의미가 있으나 이번 대선에서 윤석열이 당선된다는 것은 노골적인 반페미니즘 인셀 집단의 정치를 의미함 최악 vs 차악의 선택이 아니라 한녀에게 있어서는 죽느냐 vs 사느냐의 문제임,0,0.9,0.03,0.03,0.04,0.01,0.02,0.01,0.03,0.04,0.07
여자들 제발 소신투표 No 표 갈라지면 여자들의 인생이 좃될 수 있습니다,0,0.9,0.07,0.02,0.02,0.02,0.02,0.01,0.03,0.05,0.06
나도 소신투표 하려했는데 그냥 윤이 ㅋㅋ 여자는 개돼지 미만 취급하겠대서,0,0.89,0.03,0.01,0.03,0.02,0.03,0.01,0.03,0.07,0.07
입페미들아 이게 바로 여성을 위한 정책이다 #소신투표 라고 하지말고 그냥 이재명 좋다고 해,0,0.89,0.03,0.02,0.02,0.02,0.02,0.01,0.04,0.07,0.06
여자들아 이재명 뽑자 소신투표도 ㅆㅂ 국회의원뽑을때나해야지 이건 대선임 ㅅㅂ,0,0.89,0.03,0.01,0.03,0.02,0.03,0.01,0.05,0.13,0.05
소신투표때문에 트럼프가 당선되었다는 건 인과관계가 전혀 안 맞는 소리지만 2020경선 때 버니 지지자들이 여자 후보 지지자들한테 니네는 당선 가능성보다 자기 신념을 더 중시하는 이기적인 썅년들 이라고 사불하는 바람에 킹받아서 버니 안찍어줫단건 알아주면 좋겟다,0,0.89,0.02,0.01,0.04,0.02,0.02,0.02,0.04,0.11,0.08
여자들아 소신 투표 할 때가 아님 여권 20년 후퇴하게 생김,0,0.88,0.04,0.02,0.03,0.02,0.02,0.01,0.03,0.06,0.1
페미년들 실트에 소신투표 ㅇㅈㄹ한거 왤케 웃기냐 ㅋㅋㅋㅋ 야 니네가 소신투표한다고 이길수 있을거같냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 심상정 지지율 2퍼따린데 그거 더 먹어서 뭐하려고 ㅋㅋㅋㅋㅋㅋㅋㅋ 으리 윤카한테는 발끝에도 못미치는것들이 ㅋㅋㅋ,0,0.88,0.02,0.02,0.03,0.01,0.02,0.01,0.03,0.1,0.07
그러니까 니들한테 표 안 주면 소신투표가 아니란 거잖아요 여자 표 모으겠다면서 여자들을 대가리 없이 그냥 남들이 쟤 찍으라니까 찍는 등신으로 아나,0,0.87,0.04,0.02,0.02,0.02,0.02,0.01,0.03,0.11,0.05
윤석열 당선되면 앞으로 여자들은 페미니즘 이라는 말을 볼드모트마냥 입에 올리지도 못하게 됩니다 제발 소신투표보다 전략투표 해주세요 저도 살고 싶어요 시발,0,0.87,0.02,0.02,0.02,0.01,0.02,0.01,0.03,0.09,0.08
저 소신 투표 심 하려다가 맘 바꿔먹었잖아요 윤 되면 한녀들 단체로 망할거 뻔해서 이한테 힘 실어주려구요 그래도 ㅇㅈㅁ은 ㅇㅅㅇ보다는 2030여성들 눈치 좀 보니까,0,0.87,0.08,0.01,0.03,0.02,0.01,0.01,0.02,0.05,0.08
여자들 지금 소신투표한다고 심상정 뽑을거다 ㅇ러고잇는데 진짜 이거 표갈라치기라고 나 눈뜨면 윤석열의 나라에서 살게된다 지금,0,0.86,0.02,0.02,0.03,0.01,0.02,0.01,0.03,0.08,0.12
#페미니즘 #소신투표 #전략투표 화이팅 내연녀에 박원순 오거돈 성추행 여성피해자를 피해호소인 꽃뱀취급에 이어 너의 피해사례는 성인지학습지 주 사례로 아주 좋은 교본이다 지껄였던 여가부도 화이팅 위안부 할머니 등쳐먹은 윤미향도 찢재명지지 화이팅,0,0.86,0.01,0.02,0.05,0.01,0.02,0.01,0.05,0.09,0.13
근데 왜 다들 개표방송 보고 울 거라고 생각함 한녀들도 본능적으로 느끼는 건가 여자끼리 뭉치자 해도 좆도 말 안 듣고 소신투표 하겟다고 고집 부리고 남초 가서 여왕벌짓이 좋아서 여자 버리는 년들 때문에 질 거라는 거 다들 예상하는 거야 뭐야,0,0.86,0.14,0.02,0.04,0.01,0.02,0.01,0.02,0.04,0.04
19대 대선 때는 응 아가리 페미 소신투표 할거야 하면서 현대통령 조롱해놓고 이제와서 여자 생각하면 1번을 뽑으세욥 이러는거 넘 투명해서 정치판 존나 우스워짐ㅋㅋ 트위터로 페미를 배우면 걍 그 수준일뿐,0,0.86,0.02,0.01,0.03,0.01,0.01,0.01,0.03,0.1,0.1
