text,label,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
하시밯진짜 소추도태남마냥 남초 커뮤질만 안 하면 걍 바로 윤석열 뽑는 건데 한남들 달달한 표 맛 좀 보겟다고 2번남들 둥가둥가 받아주는 거 꼴보기 싫다 씨발롬 철수 뽑고 싶은데 또 튐 아 시발 투표 존나 하기 싫다 진짜 내 생애 첫 투표 윤석열 뽑기 시른데 뽑을 사람이 업노 우짜ㄴ,0,0.03,0.95,0.04,0.06,0.05,0.03,0.02,0.02,0.05,0.04
트페미 관점으로 가족 구성원만 봐도 전과4범 총각사칭 불륜 형수 쌍욕남 이재명 불법도박 성매매 디지털 성범죄남 이동호 베일에 싸인 의심스러운 한남 이윤호 vs 쩍벌 한남 윤석열 재명이네 한남 투플원 너무 끔찍한데 석열이네는 무해한 유기견 유기묘 출신들인데 공익적으로 얘네가 청와대 가야지,0,0.05,0.95,0.02,0.08,0.03,0.03,0.03,0.03,0.05,0.04
진짜 너무 걱정된다 윤석열 사단은 한남들이 머리에 든 게 없단 사실을 정말 제대로 알고 있다 조금만 우쭈쭈 해주고 갈라치기하면 표를 얻을 수 있단 사실을 그걸 또 지들을 지지해주는 걸로 이해하는 한남들은 더더욱 한심함 그저 지들 머리에 쓰레기밖에 없다는 걸 증명해주는데 정말 대선 걱정,0,0.05,0.94,0.03,0.03,0.04,0.03,0.02,0.03,0.05,0.04
가장 극적 이었던 것은 딸 하나 가진 50대 아버님이 딸에게 윤석열 이준석이 승리하면 여자들은 정치권에 입도 뻥긋 못한다며 너가 여자라면 막아야된다고 했다는 이야기 세상엔 한남들도 많지만 소중한 딸과 마누라 어머니 등을 가진 스윗한남들도 절반 정도는 됩니다,1,0.05,0.94,0.02,0.06,0.04,0.02,0.02,0.02,0.04,0.04
윤석열과 이준석과 한남들의 콜라보로 여가부폐지가 이루어지면 그 다음은 낙태죄부활 호주제부활 여성징병제 등등 저 한남무리들이 원하는 것들 한 두개가 아니더라,0,0.1,0.93,0.02,0.07,0.03,0.02,0.02,0.02,0.03,0.03
한국 대선에 윤석열같은게 되고 이준석같은게 나와도 그냥 그러려니 하고 여자들은 탈조하면 된다 세상은 변했고 도태한남들은 결국 지들끼리 도태되고 말것이다 한국은 결국 세계최악의 출생률을 기록하며 자멸하게 될것이다,0,0.07,0.93,0.03,0.05,0.03,0.02,0.02,0.02,0.05,0.04
이준석 한남연대 윤석열 2번남 1타 4피 아 철수까지 하면 5피인가,1,0.03,0.93,0.02,0.04,0.04,0.02,0.02,0.02,0.04,0.06
이재명윤석열 둘다 남자인게 꼬움 ㅅㅂ한남새끼,0,0.02,0.93,0.05,0.06,0.03,0.03,0.02,0.02,0.04,0.04
대체 뭘까 싶다 주지지층이 남들 행동제어하고 선택제어하는 거 좋아하는 한남이거나 지가 옳다는 확신에 차서 느갭 고함치는 개저씨들이라 그런가 유독 이재명 지지자보다 윤석열 지지자가 남들한테 누구뽑아라 누구뽑아라 강요질 존나 함,0,0.07,0.92,0.02,0.02,0.12,0.02,0.02,0.03,0.05,0.04
윤석열 족발열차가 보여주듯 권위주의 상전행세 할것 이대남들 정신차려라,0,0.07,0.92,0.02,0.05,0.04,0.03,0.01,0.04,0.04,0.03
윤석열이 되면 이제부터 펨코한남 입맛에 맞는 공약만 내세울 텐데 상상도 하기 싫음,0,0.03,0.92,0.05,0.07,0.02,0.02,0.02,0.02,0.08,0.05
오늘 ㅈ같은 꿈꿨음 윤석열이 대통령된 꿈이엇는데 기세등등 한남들이 여자조롱하고 지나갈때마다 여혐발언하고 존나 무섭고 역겨웠음,0,0.06,0.92,0.02,0.03,0.03,0.02,0.02,0.02,0.07,0.04
윤석열 무능갑인데 어떻게 그 자리까지 갔나 했더니 자지카르텔 잘 형성 해왔었구나,1,0.03,0.91,0.02,0.04,0.04,0.03,0.02,0.03,0.04,0.03
이대남들아 윤석열 후보에게 표를 주면 군대를 가야 돼 그 사람은 너희에게 주술로 전쟁터로 보낼 사람,0,0.03,0.91,0.03,0.08,0.03,0.02,0.01,0.03,0.05,0.06
여자가 또 한남에게 죽은 사건 이런 일이 계속 터지는데도 국힘 이준석같은 애들은 이런 문제는 늘 가볍게 여기고 남자의 기분나쁨을 가장 심각한 문제로 여기지 윤석열이 대통령되면 끔찍할 거다 또 신변보호여성 참극 전문가 현행 스토킹처벌법만으론 부족,0,0.08,0.91,0.02,0.04,0.02,0.02,0.02,0.02,0.06,0.04
마음껏 불법촬영할 생각에 신나서 그 쓰레기 같은 일곱 글자를 찌끄렸구나 이제 여가부 폐지 때문에 윤석열 찍겠다는 한남을 만나면 혹시 너도 불법촬영하니 물어봐야겠다,0,0.08,0.91,0.02,0.03,0.02,0.02,0.02,0.02,0.08,0.03
입사 루트가 자신과 다른 비정규직을 정규화 하는 것도 불공정하다며 못 견디는 이대남들아 단 한 번의 선출직도 못 맡아본 것은 물론 업계에서 산전수전의 ㅅ도 꺼내보지 못한 윤석열이 무려 대통령 되는 게 맞다고 보나,0,0.03,0.9,0.03,0.04,0.04,0.02,0.01,0.03,0.06,0.07
윤석열광고에도 이번남은 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 홀로 떨어진 이번남 심하다 여혐뿐 아니라 남혐까지,0,0.05,0.9,0.02,0.03,0.02,0.02,0.01,0.02,0.09,0.07
나라가 지금처럼만이라도 유지되면 한남들은 좋지 근데 진짜 윤석열은 젠더고 뭐고 나라 그냥 망함 남자고여자고 다 굶을수도 있고 전쟁이 날수도 있고 다 뒤질수가 잇는거임 난 그게 걱정이야,0,0.11,0.9,0.07,0.02,0.03,0.02,0.02,0.02,0.04,0.03
그리고 윤석열이 페미니스트라는데 2번남들 인지부조화 와서 아무말 대잔치 하는거 개 패버리고 싶네요,0,0.06,0.9,0.03,0.03,0.02,0.02,0.01,0.02,0.07,0.04
이씹한남들이 아는 거 없는 무능무뇌 밥통 윤석열을 당선시키려는 이유는 여자들에게 보여주기 위해서임 여가부 폐지를 시작으로 여권이 얼마나 더 추락하고 짓밟힐 수 있는지 그 결정권을 쥐고 있는 게 누군지 누구 말에 나라가 움직이고 이 나라가 말하는 진짜 청년이 누군지 여자들한테 보여주려고,0,0.08,0.9,0.02,0.05,0.05,0.02,0.01,0.03,0.04,0.03
이번남 그남들한테 윤석열 이준석 싫다고 하면 선동당한좀비라고 생각하던데 자기들만 생각할 줄 안다는게 너무 웃기고 심지어 이번남들은 자의적 사고를 하지 않는것 같이 행동함ㅋㅋㅋㅋㅋㅋㅋ,0,0.02,0.89,0.04,0.04,0.03,0.02,0.01,0.04,0.08,0.04
남초 사이트에 가서 1번남이 너무 멋있다고 저런 것이 남자지라고 막해보면 어떨까 40대 강동원에도 개지랄한 철없는 이번남들을 분열시킬 수 있음 1번남으로 인증하려고 지랄할지도 분명 윤석열 찍고 사기치겠지만 선거 끝나면 무개념남으로 만들어버리게 이건 전략,0,0.05,0.89,0.04,0.02,0.03,0.02,0.01,0.03,0.09,0.06
자태가 이미 미남 ㅋㅋ,1,0.04,0.89,0.03,0.04,0.02,0.01,0.01,0.01,0.08,0.07
이번남들 문재인 타령 그만하고 왜 윤석열을 찍어야 하는지 말해봐라 문재인 선거에 안 나온다 너가 덜 ㅈ될 길을 찾아,0,0.03,0.89,0.02,0.03,0.02,0.02,0.01,0.02,0.11,0.05
와 고대남들 에타에서 윤석열 ㅈㄴ빠네 탈고대 마렵,0,0.02,0.89,0.02,0.06,0.04,0.02,0.01,0.02,0.04,0.09
끼리끼리 냄세나는것들 망할거다,0,0.02,0.88,0.06,0.02,0.02,0.02,0.03,0.02,0.08,0.04
안철수나 심상정으로 투표 돌리는 것도 윤석열 지지하는 한남들 선동질 맞았네 트위터에는 별로 안 보이긴 했는데 유튜브에 유독 많더라 지지율 생각하면 안철수 지지층이 저렇게 많을수가 없음,0,0.05,0.88,0.01,0.02,0.04,0.02,0.02,0.02,0.06,0.05
ㅋㅋㅋㅋㅋㅋ 자태가 처연하네요,1,0.06,0.88,0.03,0.03,0.02,0.01,0.02,0.01,0.07,0.05
근데 진짜 좀 걱정임 이번에 이재명이 지고 윤석열 되면 한남들 진짜로 앞으로 여성들끼리 뭉쳐서 뭐한다고 하면 깔보는 거 더 심해질 것이고 페미니스트들 더욱 멸시할 거 뻔함 이건 여성의 자존심도 걸린 문제임 진짜 제발 투표권 가진 여성들 귀찮다고 투표 안하지 말고 제발 투표 하자,0,0.13,0.88,0.02,0.03,0.03,0.02,0.01,0.02,0.05,0.03
윤석열 지지하는 이대남들 ㄹㅇ 백수라 120시간이니 쉬운해고니 감이 안 와서 그럼 이재명 캠프 측에 고소당한 펨코 네임드 하나가 38살인데 무직,0,0.04,0.88,0.02,0.02,0.05,0.02,0.01,0.03,0.06,0.07
남초 도태남들 반발하면서 여론조사에서 지지율 하락함 지지율 하락에 이준석에 항복하고 여가부 폐지 페북에 올림 그 후로 반여성 선봉장으로서 선거운동 돌입 초반 상황에서는 지금처럼 여성들이 이재명 투표 입장이 아니었음 여성 대 반여성 구도로 선거판을 만든 건 이준석과 윤석열임,0,0.08,0.87,0.02,0.03,0.03,0.01,0.01,0.02,0.05,0.05
이번남들아 니들 인터넷 댓글 조작 잘하지 않냐 구글은 안하냐 윤석열 관련 검색어 좀 어떻게 해보라고,0,0.03,0.87,0.02,0.05,0.02,0.02,0.01,0.02,0.1,0.06
2번남들이 제일 모르는건 윤석열이 되도 2번남은 2번남으로 영원히 사는거야,1,0.03,0.87,0.04,0.07,0.02,0.05,0.01,0.03,0.05,0.03
2번남들 어떡해요 윤석열이 워싱턴포스트에 본인이 페미니스트라고 인터뷰했다는데 자기 입으로 페미라는 후보를 어떻게 지지할수 있겠어요 이번남들 빨리 1번으로 맘 바꾸세요 늦지 않았어요,0,0.08,0.87,0.03,0.03,0.02,0.02,0.01,0.02,0.05,0.07
무속이 어떻고 에휴 아 대순진리회도 있었지 팔 다리 머리 찢어 오살 이재명 선대위 상임위원장 윤석열 저주 주술 Save Internet 뉴데일리 #부메랑 #자충수 #무속 #주술,0,0.02,0.87,0.04,0.02,0.02,0.02,0.03,0.03,0.1,0.04
윤석열이 이재명보다 낫다 위악이 위선보다 낫다의 연장선 같음 전형적인 이대남 사고방식,0,0.04,0.86,0.02,0.05,0.07,0.04,0.01,0.05,0.03,0.05
선제타격 윤석열 지지하는 이대남들이 보면 좋은영상#shorts,1,0.05,0.85,0.02,0.04,0.03,0.02,0.01,0.02,0.05,0.11
윤석열 때문에 정계에 진출할 수 있었던 펨코남들이 앞으로 한자리씩 차지하면서 우리나라를 얼마나 도태시킬까 윤석열이 되든 안되든 정말 큰 문제다,0,0.04,0.85,0.03,0.2,0.02,0.02,0.01,0.02,0.04,0.05
선제타격 윤석열 지지하는 이대남들이 보면 좋은영상#shorts,1,0.05,0.85,0.02,0.04,0.03,0.02,0.01,0.02,0.05,0.11
한남들이 여가부 폐지 하나만 보고 무지성 결집한거 여자들은 왜 하면 안돼 언제까지 찢재명 조카변호 웅앵할건데 윤석열 이재명 도긴개긴인거 누가 몰라요 근데 이준석과 박지현은 다르다고요 나도 걍 너네처럼 무지성 이재명 갈게 ㅇㅇ #추적단불꽃 박지현 킹메이커,1,0.21,0.84,0.01,0.03,0.03,0.02,0.01,0.02,0.05,0.05
