text,label,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
기독교인들 무속잡귀신 믿는 윤석열 찍으면 지옥행 특급탄다 단디 해라 정신차리고,0,0.02,0.03,0.03,0.05,0.02,0.03,0.95,0.05,0.04,0.04
누가 언제 윤석열이 개독과 수꼴의 급폭망을 가져온다고 예언했던가,0,0.03,0.02,0.03,0.07,0.08,0.05,0.94,0.13,0.02,0.03
신자들은 진정한 그리스도인이 많지만 많은 목사들은 그냥 먹사 돈과 빤스 밝히는 세상이 어지러울수록 신자가 더 많이 모이니 윤석열 찍지 이게 한국 개신교의 현주소,0,0.02,0.02,0.03,0.04,0.02,0.02,0.94,0.04,0.03,0.05
윤석열 지지선언 한 개독교 개목사들은 사이비다,0,0.03,0.02,0.03,0.05,0.02,0.02,0.94,0.04,0.02,0.04
우상을 숭배하지 말라는 예수님 말씀을 거역하고 우상을 숭배하는 무속인 김건희와 윤석열의 앞잡이가 된 빤스먹사 전광훈은 적그리스도 전광훈을 따르는 무리들은 기독교인 행세하는 사악한,0,0.01,0.02,0.04,0.06,0.02,0.02,0.94,0.04,0.03,0.04
목사 777명 윤석열 지지 선언 목사 종교 장사치들,0,0.03,0.02,0.02,0.04,0.02,0.02,0.93,0.03,0.03,0.05
윤석열을 낙선시켜서 신천지를 비롯한 정체불명 법사 도사 등 사이비 종교 패거리와 함께 법의 심판을 받게 해야 한다,0,0.01,0.01,0.05,0.09,0.01,0.03,0.93,0.06,0.04,0.03
#윤석열 #신천지 #사이비종교 #목사님들,1,0.03,0.02,0.08,0.05,0.01,0.03,0.93,0.08,0.02,0.03
단독 역술 무속 공방 한창인 와중에 공개한 흥미진진한 이야기 이재명 윤석열 후보 부부 모두 만난 관상 풍수 전문가 백재권 교수 인터뷰 개독이나 찢주교는 이제 무슨말을하려나 안초딩은 없을까 심사짜는 없을까 아예 사주관상보면 불법이라고 법을 제정해 타로도 없어버리고,1,0.01,0.02,0.02,0.08,0.01,0.04,0.93,0.04,0.02,0.07
ㅋㅋ 어디서 사이비 목사들이 설치고 지랄이냐 기독교 망신 시키지 말고 찌그러져라 목사 777명 윤석열 지지 선언 출처 세계일보 네이버 뉴스,0,0.02,0.02,0.02,0.05,0.02,0.02,0.93,0.04,0.04,0.03
종교가 정치에 관여하면 더 이상 종교가 아닌 이익집단에 불과하다 일부 이슬람에 테러집단 ISIS가 있다면 대한민국엔 ISIS와 방법만 다른 연성 테러집단인 신천지가 설치고 있다 더 웃긴건 하나님을 파는 신천지가 무속충인 윤석열을 지지하고 오세훈을 당선 시켰다는거다 결코 묵과해선 안된다,0,0.02,0.02,0.04,0.26,0.01,0.03,0.93,0.05,0.03,0.04
남묘호렌게쿄 무당 잡신 사이비 신천지 윤석열 집안은 대체 종교가 뭘까요 교회다니면서 윤석열지지하는 사람 신천지 추수꾼 이니까 조심하세요,0,0.02,0.02,0.03,0.13,0.01,0.04,0.93,0.04,0.03,0.05
굉장한 멘트를 보았다 수구기독교는 무속과 다를 바 없다 수구대형교회나 신천지나 무속이 윤석열로 통하는게 단박에 이해가 가네,1,0.02,0.02,0.03,0.06,0.02,0.05,0.93,0.05,0.02,0.07
윤석열 캠프 조직총괄 이영수의 정체 신천지 무당 굿 이단삼단 정도의 종교밥그릇 챙기기가 아니고 나라를 줏어먹으려는 사기꾼들 이야기 이영수 에덴성회,0,0.01,0.01,0.04,0.08,0.01,0.03,0.93,0.06,0.03,0.05
#명의도용 #신천지 #무당 #거짓말 #윤석열 #공멸,0,0.04,0.02,0.06,0.13,0.02,0.03,0.92,0.15,0.03,0.02
이재명 빨다가 윤석열빠로 전향한 색히들 이재명이 이만희 때려잡을 때를 기점으로 넘어갔다면 백퍼 신천지 사이비 신자들,0,0.01,0.01,0.04,0.08,0.02,0.03,0.92,0.09,0.04,0.02
한쪽에선 개독과 연합전선 한쪽에선 무속과 연합전선 김의겸 건진법사 주최 굿판에 윤석열 부부 이름 발견 국민의힘,1,0.01,0.01,0.02,0.05,0.02,0.04,0.92,0.05,0.02,0.08
신천지가 하느님 믿는 종교라면 무속중독 윤석열 지지 불가함 한 마디로 이단이 맞음,0,0.02,0.01,0.04,0.06,0.01,0.02,0.92,0.05,0.03,0.07
목사와 무당이 손에 손잡고 기독교가 미쳤나봐요 부산 기독인 총연합 윤석열 후보 지지 선언,0,0.02,0.02,0.02,0.04,0.02,0.02,0.92,0.03,0.02,0.06
글고 보니 김만배 육성으로 젤 후회막급한 인간이 안철수겠네 며칠만 버텼으면 야당 중에서 최다득표할 뻔했어 아 전광훈도 ㅋㅋㅋㅋ 윤석열이 정치판의 쓰레기들 싹 치워주고 온갖 사이비 종교들 실체 다 드러내겠네,0,0.01,0.01,0.03,0.08,0.01,0.03,0.92,0.09,0.05,0.03
인명진 목사 윤석열과 단일화 결렬에 안철수 지지 철회 굿힘당에서 안철수 의중 파악하려고 보낸 세작 목사 생퀴 정치질보다 십계명이나 지켜라,0,0.01,0.02,0.02,0.07,0.02,0.02,0.92,0.04,0.05,0.05
사이비는 사이비를 알아본다고 무당과 교주와 윤석열이라 폭망의 조합이로다,0,0.02,0.01,0.03,0.04,0.01,0.04,0.92,0.08,0.04,0.03
윤석열과 쥴리 부부가 대한민국을 상대로 종교사기 치고 있다,0,0.02,0.01,0.03,0.07,0.01,0.04,0.92,0.11,0.07,0.03
내가 윤석열 김준석을 혐오하는 이유가 뭔데 한심해서 말이 안나온다 암튼 개독교들은,0,0.02,0.02,0.03,0.05,0.01,0.02,0.92,0.03,0.03,0.03
주술 무속과 이단 신천지의 콜라보 중심에 김건희모녀와 육두품 병풍 윤석열이 있네,0,0.03,0.01,0.03,0.1,0.01,0.03,0.91,0.04,0.02,0.05
전두환 독재 보내고 독재나 마찬가지 전횡 저지른 이명박근혜 2 정부들 보내고 문재인 정부 들어서 전직 2 대통들이 망가트린 대한민국 추스려 코로나전쟁 중에도 선진국으로 세계역사 유례없이 선진국 격상시켰더니 윤석열 같은 듣보잡이 사기꾼 종교인들 등에 엎고 사기꾼가족 위시해,0,0.02,0.01,0.02,0.23,0.02,0.03,0.91,0.12,0.03,0.03
통일교는 뒤늦게 윤석열에 붙은 거 후회하려나 신천지급 인증했고 낙선돼서 구속될 놈에게 줄 잘못 섰으니 통일교도 선서법위반 처벌받고 암튼 민주당은 당선 후 기레기들 종교놈들 국짐놈들 고소고발 취하하지 마라 화합이 아니라 청산해야 할 때다 고발 취하하자고 하는 그놈이 밀정이다,0,0.02,0.01,0.03,0.06,0.01,0.03,0.91,0.07,0.04,0.04
일부 목사라는 자들이 평화를 깨는 윤석열의 선제타격을 강력 지지하고 있다 이들은 하나님의 종이라는 가면을 쓴 사탄의 종이 아닌가 싶다 종교가 정치에 개입하고 편을 가르는 행위는 구역질 난다,0,0.01,0.02,0.03,0.05,0.01,0.02,0.91,0.04,0.05,0.04
윤석열 손가락 펴는 걸 보면서 습관인가 했는데 뭔가 어색하긴 하다 무당이 설마 시킨건 아니겠지 그런데 이만희와 똑같네 특이한 사람들이다 검찰이나 신천지나 정신이 이상한 집단인건 똑같지,0,0.02,0.01,0.03,0.1,0.01,0.03,0.91,0.11,0.06,0.03
윤석열을 지지하는 목사와 기독교단체는 신천지이지 기독교가 아닙니다,0,0.02,0.01,0.03,0.05,0.01,0.03,0.91,0.04,0.02,0.07
그 어떤 기독교 단체든 윤석열을 지지한다는 공식성명을 낸다면 그 단체는 이미 기독교가 아니다 무당과 같은 수준의 사이비일 뿐이다,0,0.02,0.01,0.03,0.04,0.01,0.02,0.91,0.07,0.04,0.05
교회 다니는 개신교 신자들 보세요 이번주일 예배부터 목사가 신천지 이단과 함께하는 윤석열 욕 안하면 당신이 다니는 교회는 이단임 그 교회 빨리 탈출바람,0,0.02,0.02,0.03,0.03,0.01,0.02,0.91,0.03,0.03,0.08
지도자가 이단이라서 그런가 벌써 산불도 종교적으로 접근하는 인간들이 하나둘이 아니네 너무 무섭다 신천지와 윤석열은 피하고싶다,1,0.01,0.01,0.04,0.06,0.01,0.03,0.91,0.05,0.03,0.05
신천지라는 사이비 종교집단이 새누리에 이어 국암당 윤석열 까지 국가를 망가뜨리고 있다,0,0.02,0.01,0.03,0.18,0.01,0.04,0.91,0.06,0.03,0.02
목사들이 교회에서 윤석열 선거운동하는 것을 막아야 한다 김용민씨가 그런 활동을 하고 있는 것으로 안다 윤석열 선거운동하는 목사들은 목사가 아니라 무당이다,0,0.02,0.01,0.02,0.03,0.02,0.02,0.9,0.04,0.03,0.06
윤석열의 무속이든 그 누구의 기독교이든 종교에 심취한 또라이들이 판치는 나라 웃음밖에 안 나옴,0,0.01,0.01,0.03,0.03,0.02,0.02,0.9,0.06,0.05,0.04
무속인 덮기위해 기독교 가짜 지지 선언했다 폭망한 윤석열 천주교도 뿔난,0,0.02,0.01,0.02,0.03,0.01,0.02,0.9,0.05,0.05,0.08
